Czy wykonywal zadanie;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level
0;77820;56171;7868;5299;4085;6873;1922;956;54;37
0;417294;85111;35032;45152;11417;53704;3782;3324;78;30
0;1177895;989516;405908;161973;46074;811519;52368;14090;0;0
0;347105;14891;13609;32749;42478;51806;15252;11682;0;0
0;145601;8326;1195;3826;5297;2888;918;355;0;0
0;1094753;58565;15259;31515;6660;13947;4754;4467;0;0
0;1461116;104964;62779;218544;31431;63280;18707;5630;0;0
0;546920;186374;22895;9650;30191;11318;6869;1196;0;0
0;648135;499418;150415;29357;28008;18464;8796;6394;78;47
0;568303;212234;6469;15498;12744;14902;6066;1750;78;47
0;636552;82307;40715;5648;35074;8944;4790;1593;78;47
0;992716;92163;15597;20678;12509;28624;2346;460;0;0
0;25651;5962;1694;594;1115;5333;3707;259;0;0
0;77421;22617;2031;313;941;945;506;426;0;0
0;619249;97129;52103;69944;90619;32819;9775;1888;0;0
0;149;10;3;2;2;2;1;0;0;0
0;313027;169517;21094;2416;4437;3936;2214;3764;0;0
0;65341;26249;8279;8806;508;2129;2582;5234;0;0
0;254590;46598;8881;1193;2532;939;580;670;0;0
0;298018;363614;30483;38606;5621;30408;3746;11312;0;0
0;1919814;524008;49616;12489;53593;16882;10661;9238;40;30
0;68284;45227;2350;1194;1635;1725;566;748;43;20
0;118940;123947;10967;12505;13091;5136;3009;16982;48;16
0;477226;74339;75387;42048;11600;8531;3844;9399;54;38
0;24386;12591;10323;2290;1200;788;1050;2053;54;63
0;21663;14944;5563;14746;4395;7874;12103;6305;75;90
0;3411;2899;1452;2135;1302;1470;1231;1824;94;100
0;50486;21497;8595;3413;4759;5074;15420;7173;100;91
0;162367;40780;73220;6479;13412;8399;7879;4912;100;96
0;53170;42564;7316;2075;2328;2354;2413;1346;91;81
0;93348;8647;6509;3410;556;1615;2492;1243;78;84
0;9316;11176;738;3379;1450;1582;3779;757;75;84
0;14160;21543;1155;2743;5389;7443;5972;2612;90;56
0;220773;34268;12732;25016;16403;12621;10074;4959;100;67
0;319580;43307;16759;9136;7399;12363;6707;4621;100;57
0;1107485;18823;8073;5006;3460;1748;2004;301;100;64
0;438646;216972;10074;71993;21989;7961;4580;10730;74;77
0;1829604;226634;34664;45718;25680;21316;13751;5856;61;66
0;28949;26015;2209;4276;8116;3661;2909;1214;56;56
0;243745;3605;2720;3465;3712;2487;1040;651;77;57
0;38324;31587;7116;7677;12202;18861;5378;4286;100;54
0;11089;11155;2549;4503;5859;12293;6873;2845;100;53
0;1576315;422413;60178;61543;53212;30786;10950;7362;100;56
0;939396;14948;9558;7523;4278;7866;3438;1958;100;56
0;70095;27731;2464;7753;8794;3131;4182;2591;80;57
0;7717;6613;1888;5320;11109;3504;15290;1792;70;63
0;2335037;1519371;104780;128468;63880;50444;23840;11282;64;57
0;244345;21798;15088;4898;953;4238;924;381;64;57
0;578008;74588;23020;9142;11387;9956;1156;1069;54;51
0;755405;1546560;226974;289700;200453;64061;37829;9742;54;51
0;162576;40968;5310;4333;7670;12950;3152;2629;64;44
0;6859;16660;2238;7529;2521;3138;8044;4814;57;48
0;486684;119614;69115;36588;12302;14790;10052;3710;66;66
0;703097;52043;19126;49244;26648;16925;5805;3836;70;77
0;309284;37900;27519;40036;85568;137785;69403;31791;70;77
0;696098;382601;43506;84559;68520;52042;12766;6440;70;77
0;69685;22228;20739;11681;10092;7846;7384;4227;66;96
0;7469;19240;1962;13785;5191;9829;3880;1286;75;96
